직업명,회사,장소,지원 링크
2020년 IT빅데이터 솔루션 기업 전사 채용,데이터스트림즈 ㈜,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38297263
유전체 빅데이터 분석 예비전문가 과정 (8기) 모집,한국바이오협회,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38256065
경기/시흥・안산/군포 국비무료 취업연수생 모집,한국직업능력교육원 안산,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38244159
각 부문 경력사원 채용,에스케이플래닛(주),경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38083118
남서울대학교 대학원 빅데이터인공지능학과 석사과정 모집,남서울대학교,충남,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38186071
[전액국비/4차산업] IoT시스템 임베디드 개발자(사물인터넷),대전대학교 HRD사업단,대전,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38319380
[국비무료/수당지급] 빅데이터/UI/UX 퍼블리싱/인터렉티브 앱&웹,한국직업전문학교,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38244321
[국비무료]취업연계 채용예정자 양성 과정 교육생 모집,충북대학교,충북,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38285951
[패스트캠퍼스] 대규모 인재 채용,패스트캠퍼스,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38230007
[국비지원 전액무료] 스마트공장 IT융합 인재 양성 교육생 모집,한국표준협회,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38162957
"연구소 우수인재 모집(SW,HW,FW,영상처리,AI,기구설계,영상개선)",(주)제노레이,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38273635
6월 각 부문별 신입/경력 채용,이투스교육,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38226593
[카카오페이지] 글로벌 운영 플랫폼 개발자 채용,(주)카카오페이지,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38329235
(주)세스코 마케팅실 데이터 분석 담당자 모집(경력무관),(주)세스코,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38279563
[네오위즈] 각 부문 신입 / 경력자모집,네오위즈,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38148439
[NCSOFT자회사] 엔씨아이티에스 시스템 엔지니어 모집,(주)엔씨아이티에스,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38307210
2020 부산/경남 벤처기업 공동채용 공고,(사)부산벤처기업협회,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38206930
덕산네오룩스 부문별 신입/경력 채용 모집,덕산네오룩스(주),충남,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38271519
[브랜디] 경영본부/사업본부/고객센터 CS/개발직군 신입 및 경력,(주)브랜디,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38272523
각 부문별 신입 및 경력 채용,뮤자인(Musign),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38296506
[(주)삼우이머션] 20년 상반기 연구개발 / 영업 인력 모집,(주)삼우이머션,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38286677
2020년 구일엔지니어링 경력사원 모집,(주)구일엔지니어링,경북,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38332198
경영지원팀 경리/인사/재무 모집합니다,(주)바나나톡,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38314306
[현대비에스앤씨㈜] IT부문 C#.NET 운영인력 채용,현대비에스앤씨(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38316132
각 부문별 경력사원 모집,㈜티제이팜,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38187591
[NHN] 기술 부문 수시채용 (신입/경력),엔에이치엔(주),경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38285282
